release_id,group_name,group_romaji,group_category,release_title,release_type,release_date,source_url
1,乃木坂46,Nogizaka46,sakamichi,透明な色,other,2015-01-07,https://www.uta-net.com/album/SRCL-8667/
2,乃木坂46,Nogizaka46,sakamichi,それぞれの椅子,other,2016-05-25,https://www.uta-net.com/album/SRCL-9086/
3,乃木坂46,Nogizaka46,sakamichi,生まれてから初めて見た夢,other,2017-05-24,https://www.uta-net.com/album/SRCL-9444/
4,乃木坂46,Nogizaka46,sakamichi,僕だけの君～Under Super Best～ [SRCL-9636],other,2018-01-10,https://www.uta-net.com/album/SRCL-9636/
5,乃木坂46,Nogizaka46,sakamichi,僕だけの君～Under Super Best～ [SRCL-9637],other,2018-01-10,https://www.uta-net.com/album/SRCL-9637/
6,乃木坂46,Nogizaka46,sakamichi,今が思い出になるまで,other,2019-04-17,https://www.uta-net.com/album/SRCL-11147/
7,乃木坂46,Nogizaka46,sakamichi,Time flies [SRCL-12030],other,2021-12-15,https://www.uta-net.com/album/SRCL-12030/
8,乃木坂46,Nogizaka46,sakamichi,My respect,other,2026-01-14,https://www.uta-net.com/album/SRCL-13515/
9,乃木坂46,Nogizaka46,sakamichi,乃木坂46 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/12550/
10,櫻坂46,Sakurazaka46,sakamichi,As you know?,other,2022-08-03,https://www.uta-net.com/album/SRCL-12179/
11,櫻坂46,Sakurazaka46,sakamichi,Addiction,other,2025-04-30,https://www.uta-net.com/album/SRCL-13295/
12,櫻坂46,Sakurazaka46,sakamichi,櫻坂46 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/29512/
13,日向坂46,Hinatazaka46,sakamichi,走り出す瞬間,other,2018-06-20,https://www.uta-net.com/album/SRCL-9829/
14,日向坂46,Hinatazaka46,sakamichi,ひなたざか,other,2020-09-23,https://www.uta-net.com/album/SRCL-11584/
15,日向坂46,Hinatazaka46,sakamichi,脈打つ感情,other,2023-11-08,https://www.uta-net.com/album/SRCL-12726/
16,日向坂46,Hinatazaka46,sakamichi,日向坂46 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/22163/
17,AKB48,AKB48,48,SET LIST～グレイテストソングス 2006-2007～,other,2008-01-01,https://www.uta-net.com/album/DFCL-1431/
18,AKB48,AKB48,48,神曲たち,other,2010-04-07,https://www.uta-net.com/album/KIZC-65/
19,AKB48,AKB48,48,SET LIST～グレイテストソングス～完全盤,other,2010-07-14,https://www.uta-net.com/album/DFCL-1653/
20,AKB48,AKB48,48,ここにいたこと,other,2011-06-08,https://www.uta-net.com/album/KIZC-117/
21,AKB48,AKB48,48,1830m [KIZC-163*1],other,2012-08-15,https://www.uta-net.com/album/KIZC-163%2A1/
22,AKB48,AKB48,48,1830m [KIZC-163*2],other,2012-08-15,https://www.uta-net.com/album/KIZC-163%2A2/
23,AKB48,AKB48,48,次の足跡 [KICS-3014],other,2014-01-22,https://www.uta-net.com/album/KICS-3014/
24,AKB48,AKB48,48,次の足跡 [KICS-3015],other,2014-01-22,https://www.uta-net.com/album/KICS-3015/
25,AKB48,AKB48,48,次の足跡 [KICS-3017],other,2014-01-22,https://www.uta-net.com/album/KICS-3017/
26,AKB48,AKB48,48,ここがロドスだ、ここで跳べ！ [KICS-3162],other,2015-01-21,https://www.uta-net.com/album/KICS-3162/
27,AKB48,AKB48,48,ここがロドスだ、ここで跳べ！ [KICS-3163],other,2015-01-21,https://www.uta-net.com/album/KICS-3163/
28,AKB48,AKB48,48,ここがロドスだ、ここで跳べ！ [KICS-3164],other,2015-01-21,https://www.uta-net.com/album/KICS-3164/
29,AKB48,AKB48,48,0と1の間 [KICS-3313],other,2015-11-18,https://www.uta-net.com/album/KICS-3313/
30,AKB48,AKB48,48,サムネイル,other,2017-01-25,https://www.uta-net.com/album/KICS-3468/
31,AKB48,AKB48,48,僕たちは、あの日の夜明けを知っている,other,2018-01-24,https://www.uta-net.com/album/KICS-3675/
32,AKB48,AKB48,48,なんてったってAKB48,other,2024-12-25,https://www.uta-net.com/album/UPCH-20687/
33,AKB48,AKB48,48,AKB48～studio recordings コレクション～AKB48 18th Stage 「ここからだ」,other,2025-12-17,https://www.uta-net.com/album/PRON-1101/
34,AKB48,AKB48,48,AKB48 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/6636/
35,SKE48,SKE48,48,手をつなぎながら,other,2010-02-10,https://www.uta-net.com/album/CRCP-40266/
36,SKE48,SKE48,48,この日のチャイムを忘れない,other,2012-09-19,https://www.uta-net.com/album/AVCD-38569/
37,SKE48,SKE48,48,革命の丘 [AVCD-93608],other,2017-02-22,https://www.uta-net.com/album/AVCD-93608/
38,SKE48,SKE48,48,革命の丘 [AVCD-93609],other,2017-02-22,https://www.uta-net.com/album/AVCD-93609/
39,SKE48,SKE48,48,SKE48 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/8921/
40,NMB48,NMB48,48,てっぺんとったんで！,other,2013-02-27,https://www.uta-net.com/album/YRCS-95007/
41,NMB48,NMB48,48,世界の中心は大阪や ～なんば自治区～,other,2014-08-13,https://www.uta-net.com/album/YRCS-95024/
42,NMB48,NMB48,48,難波愛～今、思うこと～,other,2017-08-02,https://www.uta-net.com/album/YRCS-95083/
43,NMB48,NMB48,48,NMB13,other,2023-03-08,https://www.uta-net.com/album/UMCK-7204/
44,NMB48,NMB48,48,劇場公演CD『天使のユートピア』,other,2024-08-14,https://www.uta-net.com/album/UMCK-1773/
45,NMB48,NMB48,48,NMB48 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/10997/
46,HKT48,HKT48,48,092 [UPCH-20469*1],other,2017-12-27,https://www.uta-net.com/album/UPCH-20469%2A1/
47,HKT48,HKT48,48,092 [UPCH-20469*2],other,2017-12-27,https://www.uta-net.com/album/UPCH-20469%2A2/
48,HKT48,HKT48,48,アウトスタンディング,other,2021-12-01,https://www.uta-net.com/album/UPCH-20602/
49,HKT48,HKT48,48,HKT48 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/14548/
50,STU48,STU48,48,懐かしい明日,other,2024-06-12,https://www.uta-net.com/album/KIZC-757/
51,STU48,STU48,48,STU48 Uta-Net Other Songs,other,,https://www.uta-net.com/artist/23533/
